"Distribution Center","Vendor#","Vendor Name","Date From","Date Thru","Total Due","Bid","Bid Description","Item","Pack","Size","Description","UPC","Vendor Item#","Contract ID","Qty","Each","Allowance","Extended Amt","Invoice Date","Invoice#","Customer#","Customer Name","Qty","Guar Cost","Actual Cost","Allowance","Extended Amt"
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999316,320 ,1 OZ   ,OTIS SPU?COOKIE DGH CHOC CHIP TFF       ,'10013087581000,58100               ,ARYZTA              ,24     ,0      ,7.77                ,              186.48,03/09/2022,4320373   ,4680      ,AUTUMN OAKS CARING CENTER     ,1      ,32.83               ,40.60               ,7.77                ,7.77
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999316,320 ,1 OZ   ,OTIS SPU?COOKIE DGH CHOC CHIP TFF       ,'10013087581000,58100               ,ARYZTA              ,24     ,0      ,7.77                ,              186.48,03/23/2022,4328404   ,4680      ,AUTUMN OAKS CARING CENTER     ,1      ,32.83               ,40.60               ,7.77                ,7.77
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999316,320 ,1 OZ   ,OTIS SPU?COOKIE DGH CHOC CHIP TFF       ,'10013087581000,58100               ,ARYZTA              ,24     ,0      ,7.77                ,              186.48,03/01/2022,4315578   ,15160     ,CAPE ALBEON - HARBOR          ,1      ,32.83               ,40.60               ,7.77                ,7.77
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999316,320 ,1 OZ   ,OTIS SPU?COOKIE DGH CHOC CHIP TFF       ,'10013087581000,58100               ,ARYZTA              ,24     ,0      ,7.77                ,              186.48,03/22/2022,4327880   ,15165     ,CAPE ALBEON - VILLAGE         ,1      ,32.83               ,40.60               ,7.77                ,7.77
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999316,320 ,1 OZ   ,OTIS SPU?COOKIE DGH CHOC CHIP TFF       ,'10013087581000,58100               ,ARYZTA              ,24     ,0      ,7.77                ,              186.48,03/15/2022,4323461   ,94615     ,HEARTLAND CARE & REHAB        ,1      ,32.83               ,40.60               ,7.77                ,7.77
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999316,320 ,1 OZ   ,OTIS SPU?COOKIE DGH CHOC CHIP TFF       ,'10013087581000,58100               ,ARYZTA              ,24     ,0      ,7.77                ,              186.48,02/28/2022,4314738   ,96420     ,HUNTER ACRES CARING CTR       ,1      ,32.83               ,40.60               ,7.77                ,7.77
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999316,320 ,1 OZ   ,OTIS SPU?COOKIE DGH CHOC CHIP TFF       ,'10013087581000,58100               ,ARYZTA              ,24     ,0      ,7.77                ,              186.48,03/08/2022,4319533   ,98645     ,JEFFERSON HEALTHCARE          ,1      ,32.83               ,40.60               ,7.77                ,7.77
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999316,320 ,1 OZ   ,OTIS SPU?COOKIE DGH CHOC CHIP TFF       ,'10013087581000,58100               ,ARYZTA              ,24     ,0      ,7.77                ,              186.48,02/28/2022,4314679   ,98815     ,CLINTON HEALTHCARE &          ,1      ,32.83               ,40.60               ,7.77                ,7.77
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999316,320 ,1 OZ   ,OTIS SPU?COOKIE DGH CHOC CHIP TFF       ,'10013087581000,58100               ,ARYZTA              ,24     ,0      ,7.77                ,              186.48,03/07/2022,4318846   ,98815     ,CLINTON HEALTHCARE &          ,1      ,32.83               ,40.60               ,7.77                ,7.77
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999316,320 ,1 OZ   ,OTIS SPU?COOKIE DGH CHOC CHIP TFF       ,'10013087581000,58100               ,ARYZTA              ,24     ,0      ,7.77                ,              186.48,02/28/2022,4315004   ,98955     ,DELHAVEN MANOR                ,1      ,32.83               ,40.60               ,7.77                ,7.77
